Year,Month,BCC-CSM2-MR_mm,EC-Earth3_mm,FGOALS-g3_mm,GFDL-CM4_mm,GFDL-ESM4_mm,MIROC-ES2L_mm,MIROC6_mm,MRI-ESM2-0_mm,NESM3_mm,Scenario,TaiESM1_mm
2015,1,9.942918421,8.518182944,22.37689823,6.347735223,6.636901683,1.325945763,3.646486686,4.297225436,26.33658309,ssp245,0.78777014
2015,2,20.72257256,0.7782217,2.85E-04,12.35231433,0.012525769,0.004034795,0.183713449,0.001973419,0.136958716,ssp245,0.003992805
2015,3,3.290682412,3.442037839,5.561492678,1.569475313,14.55591452,0.327542368,1.608637743,5.213470419,3.394716353,ssp245,0.518137081
2015,4,55.74986359,3.556549688,0.461243152,27.1335398,41.74041373,0.431315767,0.360364163,7.935169276,1.187502678,ssp245,0.044764329
2015,5,8.68956963,10.42507704,6.552088572,3.003267118,30.36306597,5.449466558,18.92734975,17.76163087,30.15698389,ssp245,1.463344896
2015,6,7.804337688,12.36322661,7.90182381,50.98391064,5.164046334,16.82797702,14.72250828,22.19795185,3.200658509,ssp245,23.38413719
2015,7,62.28416251,76.71708972,56.454806,81.31825078,29.00414366,47.66045015,94.04851743,58.73600689,42.30353851,ssp245,34.36211259
2015,8,128.4165026,53.42650588,58.52267018,122.6087013,16.23671053,19.26578092,21.47363095,113.4089202,214.094347,ssp245,249.2602583
2015,9,13.5982366,20.85970496,53.77551718,30.76979613,40.30012223,54.66794432,37.77781448,40.06659932,7.867586431,ssp245,37.26177806
2015,10,12.24709192,44.23368909,0.213790545,11.06325397,8.85E-04,10.19921665,2.113043051,0.037803434,21.72533078,ssp245,0.864328889
2015,11,19.38243775,34.32648685,0.333661797,11.69902545,0.15141812,1.965882748,0,2.067319075,26.67713592,ssp245,0.975865039
2015,12,2.706039325,16.07759032,7.908605173,26.72942874,1.695574062,0,1.202444939,3.75713491,7.374991066,ssp245,0.090811184
2016,1,4.57950772,18.57683244,0.227793392,13.44017984,45.10686121,2.274499109,1.982651272,6.134747062,0.083994856,ssp245,0.107941488
2016,2,0.095348522,0.464400611,0,0.159061265,0.023233477,0.006873909,0.286590523,0.079066537,2.629333431,ssp245,0.104735177
2016,3,28.33123772,0.080718242,3.52E-04,6.440957998,5.266941073,0.513962867,1.941569017,0.209006684,0.129585674,ssp245,29.83008212
2016,4,0.237045542,1.762511849,0.134865145,0.316486349,5.050398386,11.42494093,1.740212225,52.26967652,0.809318447,ssp245,15.20872696
2016,5,34.42859724,18.77461765,1.304421265,3.457149564,12.07723418,0.197532888,50.44899899,14.55275877,0.19962244,ssp245,4.069513006
2016,6,31.09603731,6.251923369,17.40623243,54.21360123,17.59576318,2.696132144,9.52067567,53.89604963,10.47860842,ssp245,51.57534815
2016,7,57.70203567,61.80250779,93.33296831,107.2550655,93.65216758,11.0454565,55.64074028,49.9296303,231.6226862,ssp245,61.96412639
2016,8,175.1364811,37.01480038,146.3472877,225.7653392,146.0266385,85.08560153,154.0598613,74.87599632,57.53115429,ssp245,59.48711283
2016,9,15.17999758,54.54350543,22.75026935,43.97578504,25.11778136,109.457416,56.27414551,16.7655775,130.8602462,ssp245,16.61435176
2016,10,32.84190524,10.01806286,0.822667922,0.055969404,40.62223337,1.367130181,0.239616766,0.112093713,16.06796062,ssp245,7.818926078
2016,11,38.97642513,0.090355042,2.597072804,1.48998781,4.35102738,0.495532522,0.020864773,11.88744762,6.831199934,ssp245,22.99814628
2016,12,1.768860187,3.0962216,5.219083577,16.79628116,1.64729413,3.347423049,1.237797408,22.41331912,22.99628801,ssp245,33.7314854
2017,1,3.50472822,2.171385921,1.947130741,0.942291426,3.74585507,0.434346185,5.85776687,10.73203154,1.253793651,ssp245,62.53533033
2017,2,0.00462975,1.532084123,0.001885373,0.266372036,0.89725015,0.276342816,42.89454263,0.585889487,3.565383706,ssp245,7.631098612
2017,3,13.96390712,0.099420711,0.223426156,0.55341345,0.730957079,3.678597412,2.359647844,0.235236263,8.521474945,ssp245,1.948618051
2017,4,14.24902075,1.687847181,4.559871005,1.26626816,12.95886144,11.53659216,9.632646972,9.582027908,5.37296815,ssp245,39.56359493
2017,5,20.99689405,9.729474776,4.306743588,4.221791597,3.853621129,0.05231172,2.595784897,34.02020347,47.33284813,ssp245,7.556897335
2017,6,16.91522241,15.40081084,13.40584182,36.21826616,13.52144661,6.543065955,43.11850999,9.170215447,28.71556378,ssp245,15.11207723
2017,7,67.47018437,66.61606635,149.8681522,147.9991669,29.93368237,83.66428876,83.30951358,40.00496846,142.6004293,ssp245,61.51366945
2017,8,114.8760159,77.14981265,70.30974912,122.5790402,43.65415454,191.3560029,175.3116688,37.9030681,157.0941474,ssp245,51.55723654
2017,9,1.392656755,10.07914438,4.084575277,89.31316395,27.59157432,26.56559228,18.08842462,46.01267294,17.73033076,ssp245,43.02812381
2017,10,21.68972834,1.594865642,0.630256441,24.50763645,2.642479068,2.626216427,20.87245307,1.901385947,2.346822995,ssp245,0.429123038
2017,11,10.10366399,0.09697214,4.967454861,0.120667725,0.906340299,7.629257395,2.0763847,1.133059522,0.152606805,ssp245,0.951946993
2017,12,0.832844834,9.676594538,12.70980677,1.236405323,3.938779005,12.46998992,0.230089756,3.188676394,22.00200987,ssp245,9.511091547
2018,1,8.493549824,2.837512946,14.0573511,17.83860598,4.504374364,0.187790313,6.55357204,3.898193765,9.0675656,ssp245,3.185229778
2018,2,1.855435847,0.211750472,3.66E-04,0.588482763,0.244924075,0.155361039,5.590874387,0.571820338,0.011499698,ssp245,0.130556016
2018,3,12.61149905,3.280142431,0.001001147,0.439335968,12.92589498,2.329352059,0.48614262,0.893760678,0.170093182,ssp245,0.157270742
2018,4,1.390904302,6.571368029,2.868236396,3.010495926,0.998427214,22.98193427,1.420218042,0.167157261,1.54056371,ssp245,13.7840596
2018,5,30.75514629,157.1335713,22.8609032,33.21879814,0.285606966,18.31007538,14.85731366,6.838132222,32.19679212,ssp245,0.077553644
2018,6,14.61060761,12.93561094,32.47472491,25.89239479,3.779163363,6.012322094,33.29552842,10.49322738,31.63543319,ssp245,33.30641571
2018,7,38.34843729,51.82685211,103.8613254,32.98235189,18.24316439,9.299360706,163.378211,45.59820088,242.6159846,ssp245,387.8378136
2018,8,42.81415726,135.8975497,236.869464,20.99930461,63.05729237,186.090555,25.42763978,30.68441291,184.6155301,ssp245,129.0754482
2018,9,25.6165175,81.41824128,68.8527858,17.00345352,30.71506146,22.5775047,16.69309446,66.17445702,104.4781668,ssp245,46.9726951
2018,10,5.45493649,71.88627175,0.178028933,0.459117043,15.86365997,0.604021534,2.021113214,1.071869854,0.494434254,ssp245,0.112079555
2018,11,27.22323745,31.80313126,0.701601861,93.84421912,7.447993038,0.340781717,0.011175832,0.064909529,10.43709343,ssp245,0.78138846
2018,12,25.88627298,2.629226813,3.899325437,18.88628383,12.97008671,11.62892659,0.49545522,2.896039836,4.480864733,ssp245,2.062546048
2019,1,18.62691398,8.304362581,5.451152814,25.12372305,8.961352664,3.354660393,43.48881555,11.8616678,4.784042848,ssp245,0.253428977
2019,2,2.643377941,3.167510209,0,5.632422171,5.392631167,0,0.278844915,0.066592469,0.068001899,ssp245,0.024546995
2019,3,1.08547716,1.47580297,0.159631873,0.736870315,2.34873673,0.054362733,0.245278129,2.646899721,0.863768015,ssp245,0.19666522
2019,4,6.120829615,3.805416619,29.66162405,14.60099048,37.55840844,7.372569456,2.6143026,5.065108991,10.14665171,ssp245,0.904352347
2019,5,38.0933587,61.74744149,11.44703979,14.20561336,4.034355977,12.41232681,4.738868777,0.672117982,9.07121844,ssp245,3.25380553
2019,6,2.946486503,7.192620738,3.087572726,19.56372723,4.782356071,24.23196797,36.30901575,7.35617569,8.494456787,ssp245,38.41664291
2019,7,97.48129174,73.1577507,69.83330092,128.8633802,31.48281262,42.76889903,60.40962461,34.49617207,6.844572309,ssp245,140.6141551
2019,8,68.51586057,96.60133673,122.9396219,194.5119074,33.57290619,48.54077782,72.31880392,55.43188402,55.10161703,ssp245,31.1396829
2019,9,28.06425328,18.66244027,22.32057233,80.47980565,3.675902378,16.57572059,22.90023549,8.114201301,21.17480216,ssp245,7.848511172
2019,10,11.52243814,2.218740887,1.101714619,0.152417762,0.004454466,0.56212232,1.33E-04,0.862869575,0.472004862,ssp245,0.118267816
2019,11,2.382615365,2.321303835,2.047290567,3.745556715,6.571576015,10.32986202,0.03876643,14.54128836,0.016960517,ssp245,25.78926508
