Year,Month,BCC-CSM2-MR_mm,EC-Earth3_mm,FGOALS-g3_mm,GFDL-CM4_mm,GFDL-ESM4_mm,MIROC-ES2L_mm,MIROC6_mm,MRI-ESM2-0_mm,NESM3_mm,Scenario,TaiESM1_mm
2015,1,4.259748809,3.765721521,0.210721343,10.5148587,1.806358943,0.275941064,0.953946148,5.427993717,3.202681754,ssp585,0.530813428
2015,2,7.048235265,0.081815621,0.314642668,1.454251849,0,0.145657076,0.029028136,0.113651676,1.57916093,ssp585,11.14309676
2015,3,38.05077819,16.26140313,2.934262117,4.708022375,0.503227183,1.117011998,0.01846565,0.483950617,28.96128868,ssp585,19.15126457
2015,4,40.94716536,10.70007666,10.53210116,21.67922336,13.01443068,4.776078888,6.53021273,19.76417482,14.99056451,ssp585,42.29994106
2015,5,38.69299496,31.3853959,3.407618196,13.55882295,12.96209862,2.097718948,4.084678274,53.61547266,5.938642876,ssp585,23.72858261
2015,6,34.57881015,2.112198157,22.60681137,3.659476736,65.30683895,9.846517521,17.75031435,35.02907651,57.49300346,ssp585,30.14763945
2015,7,111.2640283,180.9973348,99.68245107,62.31364213,172.7018473,104.9865813,234.5194218,63.36802721,231.7383462,ssp585,345.1458083
2015,8,75.78033837,445.2917926,121.1666958,267.0447961,68.01456965,103.9124244,226.7575763,149.3033163,269.4913555,ssp585,103.2891985
2015,9,70.93488518,110.3182505,23.3307279,29.1734757,47.58598202,41.72610511,6.870131738,33.82157887,22.78034766,ssp585,31.63327004
2015,10,9.868552333,3.602026191,0.275564297,1.255087479,0,0.808943404,0.008528981,12.44745368,0.280391167,ssp585,58.00712772
2015,11,35.98800631,11.91913826,4.719137866,20.51266665,0.550759705,3.583608885,0.296696533,3.768855605,7.356474793,ssp585,56.34733393
2015,12,6.949077679,3.052934557,1.268521016,21.78027754,2.94984367,0.163849895,1.120817191,1.864933023,17.06979634,ssp585,90.10264699
2016,1,0.36352658,6.119570234,0.144704763,12.1248176,0.872365906,0.063725669,0.286173481,44.99642249,1.391006253,ssp585,60.8122174
2016,2,0.002708012,0.050187238,2.51E-04,0.491990545,5.162510559,0.025160439,2.85E-04,8.961636676,0.095388104,ssp585,39.87284378
2016,3,10.89033671,8.523264629,9.185811227,2.584901126,0.944067551,4.094343649,0.070359045,4.750876115,0.212959798,ssp585,8.59829599
2016,4,61.88792759,7.223586036,23.56044889,65.59455139,22.60950157,3.206034239,1.716392763,35.84120334,3.257011117,ssp585,74.66484649
2016,5,23.89117491,14.17782921,11.56132396,8.500033337,18.21302404,15.73430631,26.93527869,32.96361472,5.94071252,ssp585,41.47335764
2016,6,21.36244206,13.19637935,26.4843956,5.307266907,10.45670339,33.22910536,51.05662784,41.08603193,55.84180086,ssp585,35.56569662
2016,7,108.2416266,194.8933508,111.2509464,161.6440587,93.67257798,138.7736171,81.82757312,73.7622676,34.63716222,ssp585,107.7176439
2016,8,164.6559463,366.0144198,174.8635744,69.59465513,66.42077105,140.4051209,95.66612316,93.70150386,410.6251065,ssp585,210.2176489
2016,9,33.12309812,59.60520169,29.25336992,36.05347489,20.29469421,86.25786959,15.46185354,57.2611174,41.90634961,ssp585,24.50595507
2016,10,0.331147753,1.145142789,0.729374588,0.361361261,3.743835471,0.917948974,0.00830652,0.044711944,10.39324378,ssp585,2.101865165
2016,11,20.10549096,1.63247651,29.94734951,34.64910039,33.57306829,1.89183336,4.243443345,0.156662267,0.04026045,ssp585,2.646493189
2016,12,27.12738689,2.518715426,3.088643346,9.843494383,11.11235025,4.981986248,14.96555553,16.07383308,0.922677029,ssp585,3.218398805
2017,1,0.729974708,17.6650889,0.143341739,14.07610359,9.046433541,0.391163606,21.41471216,0.409848929,0.105522395,ssp585,1.163700678
2017,2,0.254799884,0.066847995,0,3.085542541,9.077988898,0.559441993,1.17888684,0.47692478,0.182242446,ssp585,0.004340462
2017,3,39.37738763,8.214424314,0.72456708,2.03034443,5.925385956,28.79993563,0.202760857,3.974966754,0.132246279,ssp585,0.034744846
2017,4,21.94147676,34.87318727,44.4300876,10.12710351,2.564530887,3.162055963,2.906132411,25.11756342,3.379730903,ssp585,0.668890279
2017,5,31.96599613,8.309364876,7.471826875,45.23753749,1.937130759,0.70387276,18.58013918,28.69149564,15.08401839,ssp585,0.169751516
2017,6,120.2943761,89.43233168,19.74051366,23.90764451,11.11476132,23.27734136,6.543351707,69.58693059,29.81430811,ssp585,34.9674656
2017,7,178.0537091,182.1680248,119.4124962,82.73385872,66.92604407,49.83212624,102.7466689,70.74397127,23.76665042,ssp585,131.6850625
2017,8,14.32791351,65.75779733,169.9561254,183.326009,148.0348867,265.399766,181.1054054,206.6318669,279.3583529,ssp585,270.0884108
2017,9,117.8065967,36.51528302,15.23105137,0.382791482,56.95607614,57.24090343,43.45907731,42.42606201,26.92471131,ssp585,147.4786073
2017,10,4.42678686,3.715083586,0.264140584,0.299029569,1.355223791,0.166112328,0.144664548,60.21176865,17.09808662,ssp585,0.226402325
2017,11,10.10798165,23.73432552,14.71217905,3.832039653,8.17E-04,10.95774399,0.017091128,4.764367594,35.50488115,ssp585,0.890443366
2017,12,0.926117889,0.886592805,101.4406984,20.28072474,0.109305054,2.696909307,2.317172279,10.7520687,46.18657799,ssp585,2.828081635
2018,1,1.24344584,1.360233447,0.172745128,3.455276357,6.459695591,2.128116934,0.016066792,5.805324321,32.11275453,ssp585,7.238277043
2018,2,0.097909235,0.001594315,0,5.251580486,0.016414579,0.091300982,8.46E-07,31.54625792,0.856585787,ssp585,12.84540974
2018,3,4.854960046,10.66959176,6.307148864,11.11431527,5.912592179,4.489494951,8.334115137,14.75833258,4.915748266,ssp585,5.325511999
2018,4,11.18415618,70.03416523,8.805285101,20.68435118,16.4601755,28.53379146,6.922561286,17.77380438,12.67539416,ssp585,0.21159395
2018,5,26.09383579,39.70051546,12.87577285,2.419343034,1.672665623,11.40372849,1.767507971,176.8432379,9.993224443,ssp585,30.25755328
2018,6,44.73142393,15.5390777,54.51024582,43.6263282,31.05704873,12.54808112,26.06679717,40.18497696,22.06007883,ssp585,7.951395407
2018,7,240.2224822,38.17541544,50.24417389,122.2937059,104.2609884,255.6928848,180.1331497,266.9283703,14.45916819,ssp585,141.1672401
2018,8,111.1072899,216.8492434,80.59833879,97.68641716,298.3528743,193.3400644,50.83132723,128.9421243,319.2227581,ssp585,53.8657442
2018,9,23.69329846,38.21986663,7.661457196,29.54651787,20.37036843,45.81554981,2.687855557,11.10058926,62.50587059,ssp585,15.20782159
