AEZ,Year,Month,CHIRPS,BCC-CSM2-MR,EC-Earth3,FGOALS-g3,GFDL-CM4,GFDL-ESM4,MIROC-ES2L,MIROC6,MRI-ESM2-0,NESM3,TaiESM1
Moist_Highland,2015,1,6.421487355,6.110794287,8.962279744,8.767921826,2.444806432,14.38722235,0.582428235,0.668337701,13.32338929,4.191278103,3.371575268
Moist_Lowland,2015,1,2.861489047,0.316010947,0.262350772,0.246518917,0.054021768,0.402388034,0.020119371,0.01585465,0.417920205,0.340327067,0.171353677
Arid_Lowland,2015,1,7.15227424,9.689519807,8.329671937,21.73584096,11.05298584,6.894985273,1.258715249,3.521233616,4.711887802,22.63645532,0.817146661
Moist_Highland,2015,2,4.300061511,15.80303192,0.509046903,0.009352426,5.698347907,0.001630343,0.053012516,0.053094803,0.021008661,0.546340495,0.006461885
Moist_Lowland,2015,2,1.451801432,0.392213745,0.065856109,0.005336861,0.314084788,9.89E-06,0.013353491,0.001446756,0.003426659,0.034350457,2.08E-04
Arid_Lowland,2015,2,3.35959804,18.94997106,0.684296117,2.06E-04,11.02263409,0.015252055,0.003180179,0.167246989,0.00176715,0.131227659,0.005484716
Moist_Highland,2015,3,18.1181143,4.200938589,12.6670371,16.96048089,15.05976617,32.91683882,1.589501546,0.643148332,20.10651165,16.67384767,0.17371765
Moist_Lowland,2015,3,5.366753269,0.236679971,9.701542621,11.29852282,3.472525364,12.73934755,0.603090772,0.322960128,7.650905755,5.241079069,0.026475229
Arid_Lowland,2015,3,8.084885002,3.038377067,3.442728807,5.512695502,2.511035775,13.7871563,0.307210679,1.530686592,4.98164403,3.163635209,0.537363445
Moist_Highland,2015,4,37.99875859,92.23705411,13.83099263,1.351264439,59.93385371,58.62260224,2.314990006,1.061317938,11.8003956,5.688385025,0.372855002
Moist_Lowland,2015,4,16.31933362,57.62822244,3.435628201,2.135368743,30.97164092,29.74101524,1.444777717,1.255851569,9.870938734,1.483349542,0.590521902
Arid_Lowland,2015,4,20.94053673,53.92188144,3.2709741,0.44942117,43.05630021,40.51256606,0.396181766,0.356628675,7.96385811,1.079788204,0.042366304
Moist_Highland,2015,5,55.43634806,15.99289798,21.34435011,6.136704528,8.95860754,36.01074936,17.02091819,33.10364125,26.69640867,76.71431278,2.210662586
Moist_Lowland,2015,5,41.63796016,12.64891429,11.40848174,20.00098097,8.375652964,30.52216872,7.254650732,32.30732529,18.61217787,26.9434483,4.539385153
Arid_Lowland,2015,5,28.50112678,8.368993357,10.08179079,6.579107711,5.40482178,30.04067936,5.150575886,18.35342785,17.07119031,28.09208053,1.374223575
Moist_Highland,2015,6,28.01142098,15.90799647,20.84426098,15.15824886,128.5724084,7.966284872,29.48282053,23.06235716,23.52647373,9.578700726,27.31367235
Moist_Lowland,2015,6,34.80276083,33.35713157,23.91458501,18.12936646,180.6563853,8.0068207,42.10159542,38.61857671,53.15694087,6.953728076,67.51950574
Arid_Lowland,2015,6,13.98731294,7.819421033,12.36417848,7.483839246,96.59194193,5.076826119,16.91727205,14.50563132,22.36543517,3.090262555,24.64907534
Moist_Highland,2015,7,99.97852443,70.4067365,70.53592957,109.894695,255.4415361,50.41587762,90.50224677,82.76195727,135.1759867,98.88802133,102.3131806
Moist_Lowland,2015,7,108.5506477,118.0967897,113.1454401,100.5407223,280.1974163,85.60097442,127.6842646,99.86547604,151.6743571,110.9316569,122.083244
Arid_Lowland,2015,7,54.50469899,62.80504952,76.87406662,56.07608675,155.4204772,29.45949102,48.14119809,94.57214588,59.59535969,42.28020026,35.00546509
Moist_Highland,2015,8,135.4453392,214.9594802,146.9810186,103.4594515,324.7214476,39.39303471,56.44007028,53.97790061,140.9616775,344.0535296,278.7361961
Moist_Lowland,2015,8,160.4735218,215.8419487,206.5979355,129.9895728,320.3952825,45.43327971,62.99524929,65.12967764,215.3006832,294.4639332,257.2400172
Arid_Lowland,2015,8,113.7758617,128.4220719,52.03525613,59.18842822,234.4703241,16.49615996,19.01730473,21.24665542,114.9286864,215.9083755,250.4313103
Moist_Highland,2015,9,28.95812478,2.843136621,37.0719079,72.86423219,36.36405659,61.69608979,60.24508723,70.33935235,26.28517599,6.664101627,30.72061192
Moist_Lowland,2015,9,119.9644268,29.63459843,40.29419001,81.53098002,93.43271725,63.62786914,84.8642832,27.0083602,114.1192007,14.08461772,39.93247831
Arid_Lowland,2015,9,45.39508124,14.12682113,19.61933219,53.10049114,60.10999619,39.35292201,54.49703244,37.22896843,41.85968827,7.720770815,36.45449248
Moist_Highland,2015,10,21.35019439,4.106399995,12.89095126,0.113837378,10.07709928,0.008625479,1.985558034,0.754109679,0.044703315,3.68330658,0.069687436
Moist_Lowland,2015,10,19.90921449,13.74164761,45.64171401,1.143371541,17.25547138,0.045628417,18.42878698,6.742663542,0.249193988,14.91472967,0.211900444
Arid_Lowland,2015,10,20.07830476,12.43768703,44.69889476,0.184310513,13.19812675,8.00E-04,10.13278276,2.198163138,0.040625061,21.64692191,0.836389976
Moist_Highland,2015,11,11.92489944,16.6557698,28.06854283,0.26835691,37.13057532,0.031539928,3.834897522,0,1.559001248,27.15782708,0.140558465
Moist_Lowland,2015,11,6.78926188,3.418900689,7.228313287,0.159647874,8.921382391,0,0.971786946,0,0.367721189,19.90849413,6.36E-06
Arid_Lowland,2015,11,12.13250642,19.3228136,34.88061986,0.309866199,21.44909096,0.178684707,1.91014795,0,2.061852614,26.2514609,1.08450894
Moist_Highland,2015,12,8.388608907,10.84722279,16.59812877,2.898540066,99.00653396,0.475475368,0,3.492148272,11.98375204,4.167383222,0.011975459
Moist_Lowland,2015,12,2.673235083,1.281289029,2.066271488,0.161461339,27.88810185,0.069201883,0,0.624881043,1.021328357,0.457591751,1.76E-05
Arid_Lowland,2015,12,7.696480849,2.87790805,14.94114733,7.661332924,50.44277249,1.557756619,0,1.189619249,3.740857152,7.209763089,0.089247307
Moist_Highland,2016,1,6.267915136,2.088968378,7.755313471,0.059666315,3.074231292,5.008422443,0.366393403,0.379259291,5.885586847,0.0310744,0.011418426
Moist_Lowland,2016,1,2.803449817,0.123210045,0.366339649,3.73E-04,0.060153893,0.04442571,2.99E-04,0.010673095,0.545019494,0.002123307,0
Arid_Lowland,2016,1,7.010082685,4.419571106,19.3084022,0.207295387,18.15065736,42.37149172,2.119792836,1.908960833,6.044290393,0.082684763,0.104499631
Moist_Highland,2016,2,5.024382135,0.02352351,1.090655714,0,0.756634671,0.004591857,0.058100659,1.163445349,0.312174817,4.307187801,0.029996441
Moist_Lowland,2016,2,1.464090352,0,0.034367044,0,0.031427491,0,0.006609845,0.092441064,0.037675472,0.127179105,2.38E-04
Arid_Lowland,2016,2,3.490738943,0.086993595,0.542756766,0,0.161217059,0.025451415,0.005844995,0.262769477,0.076743112,2.584849207,0.114169819
