Year,Month,BCC-CSM2-MR_mm,EC-Earth3_mm,FGOALS-g3_mm,GFDL-CM4_mm,GFDL-ESM4_mm,MIROC-ES2L_mm,MIROC6_mm,MRI-ESM2-0_mm,NESM3_mm,Scenario,TaiESM1_mm
2018,3,1.009759357,0.952562,1.69689166,2.83601375,2.243869546,1.054818457,5.075101477,2.753915562,2.409300356,ssp585,5.880182915
2018,4,4.630706325,26.01001762,2.943150429,28.67758316,8.552137637,7.934873269,3.367728156,7.609268517,2.700990288,ssp585,0.226077146
2018,5,14.83842394,27.41440027,12.79126364,0.549591723,0.636344536,5.149577963,0.313175432,78.88789868,4.612811421,ssp585,14.25029887
2018,6,27.43585047,8.339097111,28.31187451,40.05876683,20.45624996,9.881309639,14.47035667,30.44048826,13.56898923,ssp585,15.88567328
2018,7,173.8874114,40.20238387,19.48532088,33.6858849,45.01621029,146.2954076,136.1224998,140.0085404,6.10542869,ssp585,51.35300087
2018,8,47.25265501,182.1540033,49.06586625,52.88827001,171.7429186,119.3433116,31.52337541,70.26487155,198.5233909,ssp585,44.41805329
2018,9,17.5060923,39.98749417,6.8545105,26.38980227,20.37739841,38.67050668,4.096599581,15.01706154,50.50793555,ssp585,14.16161508
2018,10,3.123116434,99.80724556,0.301181645,0.730023052,0.001193311,24.48270817,5.431671596,0.01370068,1.168468552,ssp585,19.26647448
2018,11,5.447563349,59.01503153,6.329539212,3.036707205,1.545721157,1.933987463,7.123257365,14.27847833,0.509950178,ssp585,0.001968
2018,12,7.797527094,0.515848972,13.74125223,7.354337207,10.7598873,7.131189467,1.245440634,42.61283911,3.697919932,ssp585,0.001393651
2019,1,6.478809765,4.162688121,2.675406258,7.296867593,16.01839974,13.99760852,2.236594235,6.410758644,9.657304746,ssp585,14.02863427
2019,2,11.49024366,1.642826283,0.412674432,19.01024565,0.188855978,0.109936622,0.483843926,11.38971386,2.306141753,ssp585,0.52699936
2019,3,0.690831674,0.715548806,0.103695371,0.121692826,0.631702565,1.177616651,1.442042236,0.23657725,8.820388234,ssp585,0.067144738
2019,4,0.284452467,67.7134451,4.797203277,4.821580025,7.011013257,15.94400228,8.445746972,14.6878828,63.07447592,ssp585,6.784295462
2019,5,0.997736314,11.30611268,7.893703314,1.116205381,47.33996609,8.235436798,3.302607074,0.399250638,5.62510608,ssp585,2.303093678
2019,6,12.76946687,26.04064344,9.977643267,25.73043017,37.3644883,81.54511702,19.32986146,38.03799348,15.53981652,ssp585,28.12850804
2019,7,167.9991967,69.02329877,99.83439644,13.44009581,43.01207933,198.3350263,33.82470679,45.11484418,181.4318095,ssp585,115.3504797
2019,8,193.8628587,102.1018201,177.2808839,147.2647734,10.08504748,171.1366579,154.9613542,110.1452211,132.2775774,ssp585,136.8353575
2019,9,72.42776647,13.3945592,31.52570738,4.739955613,13.11133365,58.98781932,10.40891725,42.12821134,69.58152667,ssp585,28.60606503
2019,10,0.156658786,0.003961922,0.285307882,1.562063782,0.003088387,3.05958177,0.725165541,0.754023455,53.67773847,ssp585,44.42763341
2019,11,2.03909651,6.17E-04,4.090981526,27.70384531,11.91208835,8.187777872,0.091769908,0.042278309,12.42187294,ssp585,70.60441158
2019,12,0.351409394,19.04896447,1.098446888,1.695438804,2.936371141,20.99883229,3.196739378,6.056178212,7.307785702,ssp585,33.18478883
2020,1,2.215447168,5.569863592,2.600111427,1.155213628,1.320024253,34.51684292,1.95380548,1.48743414,0.112744123,ssp585,150.6932126
2020,2,0.01559435,2.575141837,0,1.725694241,0,0.335336863,0.011013868,2.536323829,0.690429451,ssp585,2.713712442
2020,3,1.752184905,0.825165859,0.031049845,0.733005309,0.164735867,2.40768629,0.136169077,3.742188998,23.19050967,ssp585,0.575290305
2020,4,26.72014851,32.0663552,1.301068858,0.630123415,5.435391424,9.054872403,3.912628779,16.20715711,0.526821107,ssp585,3.587281971
2020,5,10.10707626,21.93056626,10.26157974,35.58848557,15.21418594,8.607507062,8.67385738,21.26103749,3.613748448,ssp585,8.823264678
2020,6,22.29761671,42.10320271,6.771583568,14.95159857,8.774497952,37.11759428,11.97308617,34.51361996,6.720983765,ssp585,7.665125288
2020,7,150.047458,15.53591288,111.8759778,135.3873821,60.50405885,103.6008219,129.5598254,80.76074589,100.99294,ssp585,75.02117916
2020,8,92.62891571,139.077603,49.16402297,63.87497491,72.99506762,46.29352423,38.56272413,64.6746793,195.9174337,ssp585,147.6916867
